job,country,number_of_pages,unique_url
Data Scientist,Japan,254,"https://www.glassdoor.com/Salaries/japan-data-scientist-salary-SRCH_IL.0,5_IN123_KO6,20_IP{}.htm"
Data Scientist,South Korea,131,"https://www.glassdoor.com/Salaries/south-korea-data-scientist-salary-SRCH_IL.0,11_IN135_KO12,26_IP{}.htm"
Data Scientist,China,260,"https://www.glassdoor.com/Salaries/china-data-scientist-salary-SRCH_IL.0,5_IN48_KO6,20_IP{}.htm"
Data Scientist,United States,10640,"https://www.glassdoor.com/Salaries/us-data-scientist-salary-SRCH_IL.0,2_IN1_KO3,17_IP{}.htm"
Data Scientist,Germany,2700,"https://www.glassdoor.com/Salaries/germany-data-scientist-salary-SRCH_IL.0,7_IN96_KO8,22_IP{}.htm"
Data Scientist,Singapore,980,"https://www.glassdoor.com/Salaries/data-scientist-salary-SRCH_IM1123_KO0,14_IP{}.htm"
Data Scientist,United Kingdom,4819,"https://www.glassdoor.com/Salaries/uk-data-scientist-salary-SRCH_IL.0,2_IN2_KO3,17_IP{}.htm"
Data Scientist,Russia,508,"https://www.glassdoor.com/Salaries/russia-data-scientist-salary-SRCH_IL.0,6_IN205_KO7,21_IP{}.htm"
Data Scientist,Switzerland,600,"https://www.glassdoor.com/Salaries/switzerland-data-scientist-salary-SRCH_IL.0,11_IN226_KO12,26_IP{}.htm"
Data Scientist,United Arab Emirates,220,"https://www.glassdoor.com/Salaries/united-arab-emirates-data-scientist-salary-SRCH_IL.0,20_IN6_KO21,35_IP{}.htm"
Data Scientist,India,100,"https://www.glassdoor.com/Salaries/data-scientist-salary-SRCH_IM407_KO0,14_IP{}.htm"
Data Scientist,France,4420,"https://www.glassdoor.com/Salaries/france-data-scientist-salary-SRCH_IL.0,6_IN86_KO7,21_IP{}.htm"
Data Scientist,Israel,660,"https://www.glassdoor.com/Salaries/israel-data-scientist-salary-SRCH_IL.0,6_IN119_KO7,21_IP{}.htm"
